Назва клініки	Сайт	Місто / Регіон	Кількість послуг	
FreshMed	https://freshmed.com.ua/	Запоріжжя	79	Середні
НОВА лікарня	https://nova.hospital/	Запоріжжя	75	Середні
UniСlinic	https://uniclinic.ua/	Запоріжжя	251	Великі
Оксфорд Медікал	https://zaporozhye.oxford-med.com.ua/	Запоріжжя	107	Середні
36.6	https://366.zp.ua/	Запоріжжя	47	Малі
ЮЛІС	https://ulis.clinic/	Запоріжжя	41	Малі
Sensus	https://sensus.zp.ua/	Запоріжжя	18	Малі
Лікар	https://www.lekar.com.ua/uk/	Запоріжжя	75	Середні
МОЄ ЗДОРОВ'Я +	https://mzplus.zp.ua/	Запоріжжя	45	Малі
Діасервіс 	https://www.dia.zp.ua/?lang=ua	Запоріжжя	110	Середні
ABG	https://abgcentre.zp.ua/	Запоріжжя	26	Малі
SPY 	https://spymed.com.ua/	Запоріжжя	67	Середні
Олівія	https://olivia.zp.ua/	Запоріжжя	42	Малі
Оксфорд Медікал	https://ivanofrankivsk.oxford-med.com.ua/	Івано-Франківськ 	55	Середні
МЕДХАУЗ 	https://medhouse-mc.com/	Івано-Франківськ 	175	Великі
Інститут здоров’я Баланс 	https://balanceinstitute.com.ua/	Івано-Франківськ 	25	Малі
ФРАНКОМЕД	https://frankomed.if.ua/	Івано-Франківськ 	105	Середні
Приватна дитяча поліклініка №1	https://www.babyclinic.if.ua/	Івано-Франківськ 	22	Малі
West Medikal	https://westmedical-if.com.ua/	Івано-Франківськ 	20	Малі
Клініка святого Луки»	https://clinicaluky.if.ua/	Івано-Франківськ 	240	Великі
Арніка	https://arnika.if.ua/	Івано-Франківськ 	28	Малі
Nobi Nobi	https://www.nobinobi.clinic/	Івано-Франківськ 	31	Малі
МедСтаніслав	https://medstanislav.if.ua/	Івано-Франківськ 	56	Середні
ОМЕД	https://omed.clinic/	Івано-Франківськ 	13	Малі
СІМЕДГРУП 	https://smg.if.ua/	Івано-Франківськ 	25	Малі
Мед Еліт 	https://med-elit.com.ua/	Івано-Франківськ 	28	Малі
VISE clinic	https://vise.com.ua/	Івано-Франківськ 	51	Середні
Мед-Атлант	https://med-atlant.if.ua/	Івано-Франківськ 	74	Середні
Добробут	https://dobrobut.com/ua/clinics/c-medicinskij-centr-dla-detej-i-vzroslyh-v-g-irpen	Ірпінь 	62	Середні
Шпиталь Шептицького 	https://spital.org.ua/irpin/	Ірпінь 	33	Малі
Doctor24 	https://www.doctor24.ua/	Ірпінь 	60	Середні
Оксфорд Медікал	https://oxford-med.com.ua/	Ірпінь 	31	Малі
Comfort Clinic	https://comfortclinic.com.ua/	Ірпінь 	34	Малі
ADONIS	https://adonis.com.ua	Київ	248	Великі
Клініка Оберіг	https://oberig.ua	Київ	135	Великі
Добробут, мережа 	https://dobrobut.com/ua	Київ	430	Великі
R+ Medical Network	https://rplus.com.ua	Київ	135	Великі
New Life	https://newlifeclinic.kiev.ua	Київ	141	Великі
МЕДІКОМ Оболонь	https://medikom.ua	Київ	126	Середні
Pulse	https://pulseclinic.com.ua	Київ	150	Великі
Into-Sana Дніпровська Набережна	https://into-sana.ua	Київ	130	Середні
Медикум	https://mc-medikum.pro	Київ	130	Середні
OK Клінік	https://okclinic.com.ua/	Київ	135	Великі
medeoclinic	https://medeoclinic.com.ua/	Київ	83	Середні
Smart Medical Center	https://smartmedicalcenter.ua/	Київ	129	Середні
Файна Клініка (2 центри)	https://fajna.clinic/	Київ	110	Середні
Меділенд	https://mediland.ua/ua	Київ	128	Середні
Аксімед	https://aksimed.ua/	Київ	121	Середні
Верітас	https://medcentre-veritas.com/	Київ	132	Великі
Eurolab clinic	https://eurolab.clinic/uk	Київ	137	Великі
Медицентр	https://medicenter.ua/uk/	Київ	129	Середні
Медичний центр Олега Колібаби	https://mck.com.ua/ua/	Київ	109	Середні
Онкоклініка Інновація	https://innovacia.com.ua/	Київ	122	Середні
Інститут планування родини	https://www.ipf.ua/	Київ	116	Середні
Healthy&Happy	https://hh.com.ua/	Київ	149	Великі
citidoctor	https://citidoctor.ua/	Київ	135	Великі
Клініка вихідного дня	https://weclinica.ua/ua/	Київ	130	Середні
viva.clinic	https://viva.clinic/ua/	Київ	173	Великі
Сіті Клініка 	https://cityclinic.com.ua/	Київ	145	Великі
Інститут Клінічної Медицини	https://www.icmed.com.ua/	Київ	79	Середні
Мати та дитина	https://mdclinics.com.ua/	Київ	145	Великі
Медичний центр «Омега-Київ» 	https://omegamc.ua/	Київ	145	Великі
Медичний центр «Медична Допомога»	https://md-clinica.com.ua/ua	Київ	176	Великі
Медичний центр «Інго»	https://mci.ua/	Київ	135	Великі
TOP Clinic DENIS	https://denis.ua/	Київ	177	Великі
Міні ЕКЗ центр	https://www.mini-eco.com/	Київ	138	Великі
Лелека	https://leleka.com.ua/ua/	Київ	154	Великі
HBMedical	https://hbmedical.com.ua/	Київ	146	Великі
Medico	https://medico.ua/	Київ	115	Середні
DIEVO	https://dievo.clinic/	Київ	83	Середні
Check UP Medical	https://checkup-clinic.com.ua/	Київ	126	Середні
МІЙ ЛІКАР	https://www.miylikar.org/	Київ	69	Середні
MedField	https://medfield.com.ua/	Київ	33	Малі
MyDerm	https://mydermclinic.ua/	Київ	65	Середні
K-med	https://k-med.ua/	Київ	48	Малі
Універсум Клінік	https://universum.clinic/	Київ	73	Середні
Медікал Град 	https://medical-grad.com/	Київ	109	Середні
ReproLife	https://reprolife.ua/	Київ	25	Малі
MedLas	https://medlas.ua/uk/	Київ	44	Малі
Airdoc	https://airdoc.com.ua/uk/	Київ	23	Малі
Lancet	https://lancet.clinic/	Київ	93	Середні
Андроцентр	https://androcentr.kiev.ua/uk/	Київ	32	Малі
Інститут вертебрології та реабілітації	https://ivr.ua/ua	Київ	18	Малі
КЛІНІКА ОБРАЗЦОВА	https://obraztsov.com.ua/	Київ	18	Малі
axel clinic	https://axel.clinic/en/	Київ	28	Малі
Віртус	https://virtus.ua/	Київ	143	Великі
Gravimed	https://www.gravimed.com.ua/	Київ	33	Малі
bogomoletsclinic	https://bogomoletsclinic.ua/	Київ	60	Середні
Клініка Доброго Доктора	https://dobrota.ua/	Київ	22	Малі
GI Med	http://www.gi-med.kiev.ua/	Київ	53	Середні
UBL clinic	https://ubl-clinic.com.ua/uk/	Київ	39	Малі
Лікар і Я	https://doctor-and-me.com.ua/	Київ	42	Малі
Клініка на Діловій	https://clinicondilova.kyiv.ua/	Київ	83	Середні
Клініка «Ангелія»	https://angelia.ua/	Київ	109	Середні
median	https://median.kiev.ua/	Київ	56	Середні
GRACE Health & Beauty Clinic	https://grace-clinics.com/en/	Київ	48	Малі
Медичний центр Коханенко	https://kokhanenkomed.com.ua/	Київ	35	Малі
Аура	https://aura-clinic.com/ua/	Київ	54	Середні
Medem	https://medem.clinic/	Київ	34	Малі
медичний центр 100% ЖИТТЯ	https://www.100percentlife.clinic/	Київ	16	Малі
Докос Медікал	https://docos.one	Київ	20	Малі
Медсейв+	https://medsaveclinic.kiev.ua/	Київ	23	Малі
Alpha Medical	https://kyiv.alpha-medical.com.ua/	Київ	36	Малі
Impulse Medical	https://www.impulsemedical.net/	Київ	38	Малі
Груальмед	https://www.grualmed.com.ua/	Київ	30	Малі
МедЛена	https://medlena.com.ua/	Київ	21	Малі
NEW CLINIC 	https://newclinic.com.ua/	Київ	25	Малі
Medical Plaza	https://kyiv.medicalplaza.ua/	Київ	55	Середні
ПРОСТО	https://mc-prosto.com/	Київ	27	Малі
Олтім Клінік 	https://www.oltimclinic.com/	Київ	88	Середні
doctor Sam	https://www.doctorsam.ua/	Київ	81	Середні
Дитина	https://www.dytyna.com.ua/ua/	Київ	27	Малі
Медичний центр Закревського 47	https://www.medcentr.kiev.ua/	Київ	64	Середні
Divero	https://divero.com.ua/	Київ	47	Малі
Наш Доктор	https://doctors.com.ua/	Київ	54	Середні
Справно	https://spravno.clinic/	Київ	22	Малі
diavita	https://diavita.institute/	Київ	33	Малі
Дім імунітету	https://dimimunitetu.co.ua/	Київ	15	Малі
MinMax	https://www.minmax.com.ua/	Київ	18	Малі
ІМПУЛЬС "ОСОКОРКИ"  	https://impuls24.com.ua/uk/	Київ	22	Малі
Olvica	https://olvica.kiev.ua/	Київ	20	Малі
превентклініка 	https://prevent-clinic.com.ua/	Київ	18	Малі
Endo Expert 	https://endo.kiev.ua/	Київ	13	Малі
Verum	https://verum.ua/	Київ	56	Середні
Ганімед 	https://ganimed.ua/	Київ	13	Малі
Гармонія здоров’я	https://harmony-health.com.ua/	Київ	52	Середні
Медбуд	https://medbud.kiev.ua/	Київ	25	Малі
ЗДОРОВ’Я РОДИНИ TREEAMED	https://familyhealth.ua/ua/	Київ	47	Малі
Senavi	https://sensavi.ua/uk	Київ	33	Малі
Академія вашого здоров’я	https://avz-clinic.com/ua/	Київ	56	Середні
PRO HEALTH 	https://prohealth.clinic/	Київ	54	Середні
MedClinic	https://medclinic.info/	Київ	25	Малі
Медейра	https://medeira.ua/	Київ	77	Середні
Levmed 	https://www.levmed.biz/	Київ	17	Малі
VV Clinic	https://bioplus.com.ua/	Київ	136	Великі
МедЦентрСервіс	https://mcs.kiev.ua/ua/	Київ	29	Малі
Допомога Плюс 	https://dopomoga-plus.com/uk/	Київ	95	Середні
BABY LUCK	https://babyluck-clinic.com/	Київ	74	Середні
ПУЛЬС	https://pulseclinic.com.ua/	Київ	77	Середні
Діамед-експрес 	https://diamed-ex.com.ua/	Київ	41	Малі
Consilium Medical	https://consilium-medical.com.ua/ua/	Київ	146	Великі
Філософія Здоров’я	https://ps-medical.com.ua/	Київ	37	Малі
Ластівка	https://lastivka.clinic/	Київ	39	Малі
МЕДАНТА	https://medanta.com.ua/	Київ	67	Середні
MEDEO MEDICAL CENTER	https://medeoclinic.com.ua/	Київ	38	Малі
Doctor Home 	https://doctorhome.com.ua/ua/	Київ	30	Малі
hippocrat	https://hippocrat.kiev.ua/	Київ	49	Малі
МПКлініка	https://mpclinic.com.ua/ru/	Київ	117	Середні
ARTES 	https://artesmed.com.ua/	Київ	78	Середні
МРІЯ	https://mk-mriya.com.ua/	Київ	52	Середні
OUTRÉ 	https://www.outre.clinic/	Київ	49	Малі
Оберіг	https://oberig.ua/	Київ	156	Великі
Амеда	https://ameda.com.ua/	Київ	99	Середні
Євромед 	https://euromed.ua/	Київ	84	Середні
KinderKlinik 	https://kinderklinik.ua/uk/	Київ	103	Середні
Тельбін-Мед	https://telbinmed.com.ua/	Київ	44	Малі
ilaya Family	https://ilaya-family.com.ua/	Київ	63	Середні
MIRUM	https://mirumclinic.com/	Київ	171	Великі
Френдлік	https://friendlic.clinic/	Київ	32	Малі
I.D.Clinic	https://idclinic.com.ua/	Київ	97	Середні
Ваш ЛІКАР	https://vashvrach.com.ua/	Київ	98	Середні
Євроклініка	https://evroklinika.com/	Київ	33	Малі
Моя клініка	https://mc-mk.com.ua/	Київ	85	Середні
Здравиця	https://zdravitsa.com.ua/	Київ	105	Середні
Vita Medical	https://vitamedical.com.ua/	Київ	150	Великі
МЕДІКОМ	https://medikom.ua/	Київ	190	Великі
Біомед	https://mcbiomed.com/	Київ	45	Малі
СТОЛИЦЯ	https://mkstolica.ua/	Київ	30	Малі
ISIDA 	https://isida.ua/uk/	Київ	60	Середні
Мед Імпульс	https://medimpuls.in.ua/	Київ	65	Середні
Клініка Нова	https://novaclinic.ua/ua/	Київ	83	Середні
Агапіт	https://agapit.clinic/	Київ	65	Середні
Євмакс	https://evmax.kiev.ua/	Київ	89	Середні
VITAE	https://vitae.com.ua/	Київ	78	Середні
Оксфорд Медікал	https://kamenskoe.oxford-med.com.ua/	Кам’янське	20	Малі
BEHEALTHY	https://behealthy.net.ua/branches/stara_vijivka_vul_nezalejnosti_52#gsc.tab=0	Ковель	12	Малі
Мед-Плаза	https://medplaza.com.ua/	Коломия	65	Середні
Медичний центр сімейного здоров'я 	https://klinika-zdorovya.com/	Кременчуг	69	Середні
Медикум	https://mc-medikum.pro	Кривий Ріг	15	Малі
Оксфорд Медікал	https://krivoyrog.oxford-med.com.ua/ua/	Кривий Ріг	20	Малі
МЕДІКОМ КРИВБАС	https://mkom.ua/	Кривий Ріг	78	Середні
ОН Клінік	https://onclinic.ua/kropivnickiy	Кропивницький	38	Малі
Polymedical Mini	https://polymedical-mini.com.ua/	Луцьк	15	Малі
МЦ лікаря Цюха	https://diagnoz.lutsk.ua	Луцьк	75	Середні
Доказова Медична Практика	https://dokazova-medpraktyka.easyweek.com.ua/	Луцьк	15	Малі
Парацельс	https://paracels.net.ua	Луцьк	41	Малі
Oxford Medical	https://luck.oxford-med.com.ua/	Луцьк	70	Середні
medicover	https://medicover.ua/	Львів	125	Середні
Дельта Мед 	https://delta-med.com.ua/	Львів	80	Середні
Шпиталь Шептицького 	https://spital.org.ua/	Львів	65	Середні
Симбіотика	https://www.symbiotyka.ua/	Львів	95	Середні
VeroMed	https://veromed.com.ua/	Львів	116	Середні
Лікарня ЕКСПЕРТ (Львів, Винники, Стрий)	https://experthospital.com.ua	Львів	157	Великі
Oxford Medical	https://lviv.oxford-med.com.ua	Львів	140	Великі
Veselka	https://veselka.clinic/	Львів	130	Середні
IQMED	https://iqmed.com.ua	Львів	32	Малі
Медичний центр ДВ	https://dv.lviv.ua	Львів	28	Малі
Medialt	https://medialt.clinic	Львів	66	Середні
CenterUP	http://medicalcenterup.com.ua/	Львів	65	Середні
Med Space	https://medspace.lviv.ua/	Львів	45	Малі
FemiLux	https://www.femilux.com.ua/	Львів	38	Малі
Клініка професора Стефана Хміля 	http://khmilclinic.com.ua/	Львів	45	Малі
Лев Медікал 	https://levmedical.com.ua/	Львів	64	Середні
Біомед	https://center.biomed.lviv.ua/	Львів	63	Середні
Ехокор	https://ehokor.com.ua/	Львів	43	Малі
NOVO	https://www.novo.lviv.ua/	Львів	42	Малі
IQMED 	https://iqmed.com.ua/	Львів	22	Малі
ОН Клінік 	https://onclinic.ua/nikolaev	Миколаїв	54	Середні
ZDRAVO	https://zdravo.life	Миколаїв	29	Малі
Active-Medical 	http://active-medical.com.ua/	Миколаїв	199	Великі
Панацея 	http://www.panacea.com.ua/	Миколаїв	33	Малі
Andros Medical	https://androsmedical.com.ua/	Миколаїв	69	Середні
МЕДИЧНА ЗІРКА	https://www.medzirka.com.ua/viddilennya/mohyliv-podilskyi	Могилів-Подільський	12	Малі
Веселка	https://veselka.clinic/kontakty/novoyavorivsk	Новояворівськ	106	Середні
Oxford Medical	https://odessa.oxford-med.com.ua	Одеса	110	Середні
Into-Sana	https://odessa.into-sana.ua	Одеса	340	Великі
Медичний дім Odrex	https://odrex.ua	Одеса	404	Великі
ОН Клінік	https://onclinic.ua/odessa	Одеса	56	Середні
Центр.Мед	https://centrmed.com.ua/	Одеса	67	Середні
Ілайф	https://e-lifeclinic.com.ua/	Одеса	39	Малі
Likarium	https://likarium.com.ua/	Одеса	49	Малі
Медея	https://medeja.com.ua/	Одеса	45	Малі
Complimed	https://complimed.com.ua/	Одеса	44	Малі
SANA VITA 	https://sanavita.com.ua/	Одеса	59	Середні
Лікарня Святої Катерини	https://svekaterina.ua/	Одеса	94	Середні
Grizan's Medical	https://grizansmedical.com.ua/	Одеса	37	Малі
Ineo	https://ineo.od.ua/	Одеса	18	Малі
OMD-clinic 	https://oncocentr.com.ua/	Одеса	46	Малі
express-clinic	https://express-clinic.com.ua/	Одеса	64	Середні
Клініка Шевченко 	https://shevchenko.clinic/	Одеса	26	Малі
Neuro-Cardio Lab 	https://www.neuro-cardiolab.com.ua/	Одеса	35	Малі
Оптікор 	http://optikor.com.ua/	Одеса	18	Малі
Клініка Профмед 	https://www.profmed.od.ua/	Одеса	16	Малі
Virtus	https://virtus.ua/	Одеса	290	Великі
sanavita	https://sanavita.com.ua/	Одеса	69	Середні
Esperanto MED	https://www.esperanto-med.com/	Одеса	150	Великі
yanko	https://yanko.od.ua/	Одеса	164	Великі
papasim	https://www.facebook.com/p/Papasim-100058107852980/	Одеса	15	Малі
Dr.ROMANOVSKIY	https://romanovskiy.od.ua/	Одеса	14	Малі
Oxford Medical	https://ternopil.oxford-med.com.ua/	Тернопіль	111	Середні
Шпиталь Шептицького філія "Доктора Озаркевича"	https://spital.org.ua/ternopil/	Тернопіль	56	Середні
Alpha Medical	https://borshchahivka.alpha-medical.com.ua/	Петропавлівська Борщагівка	61	Середні
ОН Клінік 	https://onclinic.ua/poltava	Полтава	30	Малі
Медичний Центр Здоров’я	https://www.poltava.medzdrav.com.ua/ua/	Полтава	39	Малі
100% ЖИТТЯ 	https://www.100percentlife.clinic/poltava/golovna-poltava	Полтава	12	Малі
Сімейна клініка	https://familyclinic.in.ua/	Полтава	31	Малі
Медіон	https://medion.pl.ua/	Полтава	146	Великі
BEZEGA CLINIC 	https://www.bezegaclinic.com/	Полтава	72	Середні
Oxford Medical	https://rivne.oxford-med.com.ua/	Рівне	165	Великі
100% ЖИТТЯ 	https://www.100percentlife.clinic/rivne/home	Рівне	35	Малі
Ваш лікар поруч	https://vashlikar.ck.ua/smila	Сміла	75	Середні
LAZURA MEDICAL	https://lazuramedical.com.ua/	Софіївська Борщагівка	111	Середні
ALFA CLINIC	https://alfaclinic.com.ua/	Софіївська Борщагівка	20	Малі
ADONIS	https://adonis.com.ua/branch/chastnaja-klinika-na-sofievskoj-borshhagovke/	Софіївська Борщагівка	225	Великі
ОН Клінік 	https://onclinic.ua/sumy	Суми	40	Малі
МЕДСОЮЗ	https://med-soyuz.com.ua/	Суми	158	Великі
Віасан	https://viasan.ua/ua	Тернопіль	49	Малі
Мій Лікар	https://www.mdcmydoctor.com.ua/	Тернопіль	58	Середні
ЕхоПульс	https://ehopuls.com.ua/	Трускавець	16	Малі
ОН Клінік 	https://onclinic.ua/uzhgorod	Ужгород		Малі
Medicover	https://medicover.ua/clinics/uzhgorod.html	Ужгород	105	Середні
VeroMed	https://uzhgorod.veromed.com.ua/	Ужгород	159	Великі
Клініка Біляка 	https://bilyak.com.ua/	Ужгород	54	Середні
Oxford Medical	https://uman.oxford-med.com.ua/ua/	Умань	53	Середні
Лінія життя	https://liniya-gizni.com.ua/	Харків 	37	Малі
ОН Клінік 	https://onclinic.ua/kharkov	Харків 	65	Середні
Ок центр	https://www.okc.com.ua/uk	Харків 	105	Середні
Мільнер Медікал	https://ai.milner-medical.com.ua/	Харків 	45	Малі
Медичний Центр Здоров'я 	https://medzdrav.com.ua/ua/	Харків 	55	Середні
Поліклініка «Мамин Дім» 	https://med.mamindom.ua/	Харків 	39	Малі
BABY LUCK	https://babyluck-clinic.com/ua/centr-kharkov.html	Харків 	44	Малі
ІНСТИНКТ СОНЦЯ	https://instinctsun.com/	Харків 	40	Малі
Доктор Харків	https://doctor.kharkov.ua/uk/	Харків 	38	Малі
Life Park Medical Center 	https://www.lifepark.com.ua/	Харків 	66	Середні
Пульс Медіка	https://pulsmedika.kh.ua/	Харків 	25	Малі
Еввіва	http://www.evviva.com.ua/	Харків 	81	Середні
Your baby 	https://your-baby.com.ua/	Харків 	55	Середні
Лорітом 	https://loritom.ua/uk/golovna/	Харків 	45	Малі
РІШОН	https://rishon.com.ua/uk	Харків 	125	Середні
Selli Ltd	https://selli-limited.com.ua/	Харків 	85	Середні
Da-Vinci Сlinic 	https://da-vinci.clinic/	Харків 	70	Середні
РЕГІОНАЛЬНИЙ МЕДИЧНИЙ ЦЕНТР 	https://www.rmc.kh.ua/	Харків 	75	Середні
Екомед	https://www.ekomed.org.ua/	Харків 	68	Середні
Вікторія	https://medviktoria.com.ua/	Харків 	15	Малі
Мама Лікар	https://mamalikar.com/	Харків 	20	Малі
Oxford Medical	https://khmelnitsky.oxford-med.com.ua/	Хмельницький	105	Середні
Добра Клініка	https://dobraclinic.ck.ua/	Черкаси	59	Середні
ОН Клінік	https://onclinic.ua/cherkassyi	Черкаси	41	Малі
Ваш Лікар	https://vashlikar.ck.ua/ru/	Черкаси	91	Середні
Anatomia здоров'я	https://anatomia.in.ua/	Черкаси	54	Середні
Медичний Центр Здоров’я 	https://cherkasy.medzdrav.com.ua/	Черкаси	27	Малі
ЛІКАРІ ЧЕРКАС 	https://likari.ck.ua/	Черкаси	28	Малі
INTEGRO	https://integromed.org/	Черкаси	33	Малі
Оптіма Медікал Сервіс	https://optimamedicals.com.ua/	Черкаси	58	Середні
Oxford Medical	https://chernivtsi.oxford-med.com.ua/ua/	Чернівці	78	Середні
Юзько	https://yuzko.com.ua/	Чернівці	62	Середні
Базисмед 	https://bazismed.com/	Чернівці	78	Середні
ОН Клінік	https://onclinic.ua/chernigov	Чернігів 	27	Малі
100% ЖИТТЯ	https://www.100percentlife.clinic/chernigiv/	Чернігів 	25	Малі
Тесла	https://teslacenter.com.ua/	Чернігів 	52	Середні
